date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:02%20GMT	http://www.fpiupdates.com.ng/assett/js/jquery.scrolly.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/jquery.scrolly.min.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:03%20GMT	http://www.fpiupdates.com.ng/assett/js/jquery.poptrox.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/jquery.poptrox.min.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:03%20GMT	http://www.fpiupdates.com.ng/assett/js/skel.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/skel.min.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:05%20GMT	http://www.fpiupdates.com.ng/assett/js/util.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/util.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:06%20GMT	http://www.fpiupdates.com.ng/assett/js/main.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/main.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	13524/13524	------	200	untouched ('')	image/jpeg	date:Mon,%2027%20Feb%202023%2004:46:34%20GMT	https://fpiupdates.com.ng/media/backgroundImages/exampaper.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/fpiupdates.com.ng/media/backgroundImages/exampaper.jpg	(from http://www.fpiupdates.com.ng/posts)
14:15:50	64316/64316	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:36:11%20GMT	http://www.fpiupdates.com.ng/post/ilaropoly-olevel-requirements-and-utme-subjects-combination	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/ilaropoly-olevel-requirements-and-utme-subjects-combination.html	(from http://www.fpiupdates.com.ng/posts)
14:15:50	33491/33491	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:36:11%20GMT	http://www.fpiupdates.com.ng/post/required-documents-for-ilaropoly-nd-and-hnd-aspirants	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/required-documents-for-ilaropoly-nd-and-hnd-aspirants.html	(from http://www.fpiupdates.com.ng/posts)
14:15:50	32539/32539	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:36:12%20GMT	http://www.fpiupdates.com.ng/post/nd--hnd-aspirants-things-that-can-make-you-forfeit-admission-	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/nd--hnd-aspirants-things-that-can-make-you-forfeit-admission-.html	(from http://www.fpiupdates.com.ng/posts)
14:15:50	34436/34436	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:36:13%20GMT	http://www.fpiupdates.com.ng/post/things-to-know-before-ilaropoly-putme-date	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/things-to-know-before-ilaropoly-putme-date.html	(from http://www.fpiupdates.com.ng/posts)
